protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,9,failed,100,100,100,False,CURRENT_MAX,37907.4704737,0.046357615894,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,100,100,False,TRIMMED_5PCT,47.8569631871,1,0.04,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,100,100,False,TRIMMED_10PCT,37.8920346539,1,0.11,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,200|all,119,False,CURRENT_MAX,37907.4704737,0.046357615894,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,200|all,119,False,STANDARD_CONFORMAL,37907.4704737,0.046357615894,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,200|all,119,False,TRIMMED_5PCT,136.191975624,1,0.01,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,100,200|all,119,False,TRIMMED_10PCT,39.3431515373,1,0.06,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,100,100,False,CURRENT_MAX,74186789.2022,0.041059602649,0.04,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,100,100,False,TRIMMED_5PCT,62177.3554389,0.508609271523,0.13,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,100,100,False,TRIMMED_10PCT,57095.7818861,0.618543046358,0.16,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,200|all,119,False,CURRENT_MAX,74186789.2022,0.041059602649,0.04,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,200|all,119,False,STANDARD_CONFORMAL,74186789.2022,0.041059602649,0.04,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,200|all,119,False,TRIMMED_5PCT,79637.7533605,0.235761589404,0.09,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,10,200|all,119,False,TRIMMED_10PCT,57095.7818861,0.618543046358,0.16,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,100,100,False,CURRENT_MAX,59488.0548718,0.0940397350993,0.05,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,100,100,False,TRIMMED_5PCT,22962.3389677,0.623841059603,0.09,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,100,100,False,TRIMMED_10PCT,10785.6394909,0.654304635762,0.1,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,200|all,119,False,CURRENT_MAX,59488.0548718,0.0940397350993,0.05,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,200|all,119,False,STANDARD_CONFORMAL,59488.0548718,0.0940397350993,0.05,1,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,200|all,119,False,TRIMMED_5PCT,22962.3389677,0.623841059603,0.09,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,25,200|all,119,False,TRIMMED_10PCT,10785.6394909,0.654304635762,0.1,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,19,failed,50,100,100,False,CURRENT_MAX,11527.6743363,0.0807947019868,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,50,100,100,False,TRIMMED_5PCT,39.0283258952,1,0.04,0.95,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,50,100,100,False,TRIMMED_10PCT,33.6316985779,1,0.12,0.9,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,50,200|all,119,False,CURRENT_MAX,11527.6743363,0.0807947019868,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,50,200|all,119,False,STANDARD_CONFORMAL,11527.6743363,0.0807947019868,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,50,200|all,119,False,TRIMMED_5PCT,39.0283258952,1,0.04,0.957983193277,0.99,True,True
