seed,N,detector,variant,retained_features,threshold,FPR,recall,success,covariance_condition,lw_shrinkage,calibration_q50,calibration_q90,calibration_q95,calibration_q99,calibration_max,healthy_q50,healthy_q90,healthy_q95,healthy_q99,healthy_max,anomaly_q50,anomaly_q90,anomaly_q95,anomaly_q99,anomaly_max,protocol_version
0,50,TargetOnly,TOPVAR_250_LW,250,27.649163643973285,0.01,0.9059602649006623,True,204.15905653848677,0.23518547727030276,19.885756007543193,22.345771256836112,23.514127609277537,24.051957972864674,27.649163643973285,19.71092481774673,22.376238429990046,23.05012957019533,25.32300285312322,45.87052294824456,40.627339055229626,91.07979073647351,122.21589995173237,248.096988645869,583.0406435457693,targetonly-regularization-v1.0.0
0,100,TargetOnly,LW_CURRENT,533,81.51190521575606,0.01,1.0,True,617.4413883176774,0.15169610492165167,32.16133680451448,35.7317227005756,39.32239807437391,41.514341038999945,81.51190521575606,32.49375005867945,35.645892643607674,36.56682466383271,39.54224350146479,144.06648492526108,241.99899291833745,415.3720303585613,644.4993313548533,708.7637817051673,30914.006882135178,targetonly-regularization-v1.0.0
0,100,TargetOnly,DIAGONAL,533,63.520863213882166,0.01,1.0,True,,,22.683129654766,27.099028561358654,29.401657830502533,33.784412712781155,63.520863213882166,22.555431834098968,25.973316851096445,27.540072345953796,34.70825306848059,98.41769794919949,116.4152193302994,191.03522731504015,314.2350652899067,328.6194889831395,14267.07245036614,targetonly-regularization-v1.0.0
0,100,TargetOnly,PCA_95_LW,66,15.671759953574298,0.01,1.0,True,39.40017954022343,0.16798886238093103,5.894227985787842,6.865599624133073,7.180424429692295,7.9364207722285505,15.671759953574298,5.827715232027719,6.4065864029596264,6.637688142402498,7.593152722300778,26.743378819599144,29.264338257595174,49.84802397755227,72.03845977948667,99.03207212295924,3501.457946995809,targetonly-regularization-v1.0.0
0,100,TargetOnly,PCA_99_LW,89,18.212903816013302,0.01,1.0,True,59.49261221826567,0.1731123991297931,6.894233247365985,7.9528046684026235,8.59287840444057,9.306852044261044,18.212903816013302,6.948946145665433,7.570709199239456,8.043598659077768,8.79439029337599,30.652424218363866,37.208777057551025,61.549850871123716,93.14599367276871,119.61871939452469,5249.733903169275,targetonly-regularization-v1.0.0
0,100,TargetOnly,PCA_10_LW,10,9.417588006882722,0.01,0.13245033112582782,False,8.253447884206603,0.10654484745993789,2.539512354211673,3.2254079316978976,3.522556117811513,4.504826662250149,9.417588006882722,2.5584620853474545,3.144060830006585,3.4131686915823707,3.9565628013914647,14.37873905945643,5.757696060497693,9.80301109408971,10.996093967743295,17.30686557369146,310.0212046196185,targetonly-regularization-v1.0.0
0,100,TargetOnly,PCA_25_LW,25,10.762438126658672,0.01,0.9033112582781457,True,15.797532828426755,0.13240169466226953,3.635152495283325,4.395035887677399,4.860426568238741,5.481525137615089,10.762438126658672,3.578119456840464,4.220571421985246,4.546314236043393,5.065671621133493,18.61983304997912,12.690630429572833,20.787868672496447,28.05208488393969,33.79534738068552,795.2708787322601,targetonly-regularization-v1.0.0
0,100,TargetOnly,PCA_50_LW,50,13.284405727267883,0.01,1.0,True,28.98579872660283,0.15955411024467084,5.07575511450082,6.008263649817145,6.462465978419066,6.865075580478916,13.284405727267883,4.96649040929896,5.652004380954363,5.8208322118699,6.248695472594881,22.483414904741863,22.27276839919243,38.94715671261449,52.229755877653275,77.80680604578156,2335.6093605662995,targetonly-regularization-v1.0.0
0,100,TargetOnly,TOPVAR_50_LW,50,10.23960243497912,0.01,0.39867549668874175,False,44.64192681622624,0.17967575744084982,7.290298888942455,8.418793851475696,8.572540551994235,8.800853873640474,10.23960243497912,7.201321280619161,8.211549405059799,8.640897082613598,9.244947428088839,13.889318245638638,9.80802785916693,13.487216221243827,15.203434685182238,18.130428745408885,19.631843470312994,targetonly-regularization-v1.0.0
0,100,TargetOnly,TOPVAR_100_LW,100,15.076125342637289,0.02,0.743046357615894,False,139.82713122543467,0.14450902032003954,11.71915691911102,12.943231351975475,13.513607013493916,14.438864347790487,15.076125342637289,11.411942750726093,13.02194697051246,13.66330427111367,15.337546014158407,21.79920238203073,19.744386863960408,28.382168346759467,39.6432731528307,46.41936755178699,86.3906868929479,targetonly-regularization-v1.0.0
0,100,TargetOnly,TOPVAR_250_LW,250,26.85419219578376,0.01,0.9178807947019868,True,430.24504475833277,0.12465178807731833,19.86118301625138,22.346265608957403,22.790609692955723,25.137360883758895,26.85419219578376,19.85422484977853,22.252666548796338,22.639168637497615,25.55916141955395,51.94058684525473,41.406428896763416,94.86462023768391,126.49291182619777,261.95329306080737,697.4267351889041,targetonly-regularization-v1.0.0
1,10,TargetOnly,LW_CURRENT,529,21907.403165459964,0.01,0.5682119205298013,False,73.2961594275567,0.6501559018919852,30.86352482984818,44.08809984743593,21906.759509268722,21907.23521274085,21907.403165459964,31.659737911367415,16430.147577315118,21906.683091718904,21907.365937352373,21908.039831317554,21909.342297966676,43817.6866849408,43819.10266248012,43820.82823969997,65728.08030401813,targetonly-regularization-v1.0.0
1,10,TargetOnly,DIAGONAL,529,16899.244587980596,0.01,0.5695364238410596,False,,,27.728132579512184,41.67619854934557,16899.217306585364,16899.224448161258,16899.244587980596,28.487048056646636,12674.623046861561,16899.213650949496,16899.249514696898,16900.023267048065,16900.38118961715,33802.605588795945,33802.64643182234,33803.84009134464,50702.63629953195,targetonly-regularization-v1.0.0
1,10,TargetOnly,PCA_95_LW,9,305.3615321089855,0.02,0.2410596026490066,False,1.0,1.0,1.9858551928147778,3.895551358465534,304.8024627775626,305.0678177341498,305.3615321089855,2.187176772380915,228.82483223120448,305.1370840767944,305.37260667765764,305.414168900305,304.02986460014915,610.389952500123,611.1650672819367,612.4576077296565,916.9719831543185,targetonly-regularization-v1.0.0
1,10,TargetOnly,PCA_99_LW,9,305.3615321089855,0.02,0.2410596026490066,False,1.0,1.0,1.9858551928147778,3.895551358465534,304.8024627775626,305.0678177341498,305.3615321089855,2.187176772380915,228.82483223120448,305.1370840767944,305.37260667765764,305.414168900305,304.02986460014915,610.389952500123,611.1650672819367,612.4576077296565,916.9719831543185,targetonly-regularization-v1.0.0
1,10,TargetOnly,PCA_10_LW,10,321.8954745859365,0.02,0.2410596026490066,False,1.0,1.0,2.095791787136264,4.1067304601704295,321.3088444631489,321.58634288399395,321.8954745859365,2.3112395503056433,241.21556255262007,321.66005648755214,321.9108137812981,321.9539741976106,320.50180927096284,643.4407164723453,644.2652232295356,645.6225362677319,966.6346793947417,targetonly-regularization-v1.0.0
1,10,TargetOnly,PCA_25_LW,10,321.8954745859365,0.02,0.2410596026490066,False,1.0,1.0,2.095791787136264,4.1067304601704295,321.3088444631489,321.58634288399395,321.8954745859365,2.3112395503056433,241.21556255262007,321.66005648755214,321.9108137812981,321.9539741976106,320.50180927096284,643.4407164723453,644.2652232295356,645.6225362677319,966.6346793947417,targetonly-regularization-v1.0.0
1,10,TargetOnly,PCA_50_LW,10,321.8954745859365,0.02,0.2410596026490066,False,1.0,1.0,2.095791787136264,4.1067304601704295,321.3088444631489,321.58634288399395,321.8954745859365,2.3112395503056433,241.21556255262007,321.66005648755214,321.9108137812981,321.9539741976106,320.50180927096284,643.4407164723453,644.2652232295356,645.6225362677319,966.6346793947417,targetonly-regularization-v1.0.0
1,10,TargetOnly,TOPVAR_50_LW,50,19.301927971124744,0.0,0.05562913907284768,False,3.933378159178542,0.7706419945869835,9.061722368645245,10.991981421944022,12.202653215524183,15.148857679215377,19.301927971124744,8.872877801926718,11.247216278230797,12.010320731076845,12.9399912305256,15.124302055333091,11.661430257054665,16.902814557536168,20.039675009317932,24.516166265544374,30.969528275642386,targetonly-regularization-v1.0.0
1,10,TargetOnly,TOPVAR_100_LW,100,23.63514724091856,0.0,0.20132450331125828,False,9.969458877962182,0.7130507193600648,12.895649948443186,15.986272256164348,17.312913811022614,20.888220320373442,23.63514724091856,13.123903994725675,15.768501325725696,16.876929332239833,17.792856992217388,19.135709026278633,18.86263783988765,29.187666864941228,36.507441668837366,48.88979887656795,69.67445519165142,targetonly-regularization-v1.0.0
1,10,TargetOnly,TOPVAR_250_LW,250,42.28056320066346,0.0,0.3350993377483444,False,34.84700775806674,0.6475929013143422,20.475165917324308,25.093314846577062,26.45410766885616,33.23064436021573,42.28056320066346,20.62303571881847,24.41086934604783,25.347744770323978,26.590204043754287,29.953329844781436,35.48930500967411,81.83462548451185,104.917568231365,211.3653762654899,545.3704695902907,targetonly-regularization-v1.0.0
