left_seed,left_N,right_seed,right_N,same_seed,same_N,top250_intersection,top250_union,top250_jaccard,top250_overlap_coefficient,variance_rank_spearman
4,10,13,25,False,False,241,259,0.930501930502,0.964,0.987253692472
4,10,13,50,False,False,242,258,0.937984496124,0.968,0.985396555335
4,10,13,100,False,False,242,258,0.937984496124,0.968,0.986493687488
4,10,19,10,False,True,245,255,0.960784313725,0.98,0.985721132571
4,10,19,25,False,False,247,253,0.97628458498,0.988,0.987166250816
4,10,19,50,False,False,245,255,0.960784313725,0.98,0.986228017037
4,10,19,100,False,False,244,256,0.953125,0.976,0.985418584267
4,25,4,50,True,False,248,252,0.984126984127,0.992,0.997045814642
4,25,4,100,True,False,246,254,0.968503937008,0.984,0.99461382037
4,25,9,10,False,False,241,259,0.930501930502,0.964,0.991751419324
4,25,9,25,False,True,240,260,0.923076923077,0.96,0.989852467491
4,25,9,50,False,False,242,258,0.937984496124,0.968,0.988386729777
4,25,9,100,False,False,243,257,0.945525291829,0.972,0.989951123934
4,25,13,10,False,False,240,260,0.923076923077,0.96,0.989373866462
4,25,13,25,False,True,242,258,0.937984496124,0.968,0.990740197867
4,25,13,50,False,False,242,258,0.937984496124,0.968,0.990222497574
4,25,13,100,False,False,247,253,0.97628458498,0.988,0.993469114725
4,25,19,10,False,False,241,259,0.930501930502,0.964,0.98463381021
4,25,19,25,False,True,241,259,0.930501930502,0.964,0.991159936472
4,25,19,50,False,False,244,256,0.953125,0.976,0.991605503892
4,25,19,100,False,False,242,258,0.937984496124,0.968,0.991090232707
4,50,4,100,True,False,248,252,0.984126984127,0.992,0.997733572093
4,50,9,10,False,False,243,257,0.945525291829,0.972,0.99332049332
4,50,9,25,False,False,242,258,0.937984496124,0.968,0.994320418142
4,50,9,50,False,True,244,256,0.953125,0.976,0.99268364659
4,50,9,100,False,False,245,255,0.960784313725,0.98,0.993987090547
4,50,13,10,False,False,242,258,0.937984496124,0.968,0.990957860342
4,50,13,25,False,False,244,256,0.953125,0.976,0.992882379856
4,50,13,50,False,True,244,256,0.953125,0.976,0.99467471037
4,50,13,100,False,False,249,251,0.99203187251,0.996,0.996619084182
4,50,19,10,False,False,243,257,0.945525291829,0.972,0.986970365494
4,50,19,25,False,False,243,257,0.945525291829,0.972,0.993377115316
4,50,19,50,False,True,246,254,0.968503937008,0.984,0.995660727633
4,50,19,100,False,False,244,256,0.953125,0.976,0.995230698625
4,100,9,10,False,False,245,255,0.960784313725,0.98,0.992810202011
4,100,9,25,False,False,244,256,0.953125,0.976,0.995391074794
4,100,9,50,False,False,244,256,0.953125,0.976,0.996611760579
4,100,9,100,False,True,245,255,0.960784313725,0.98,0.997556154516
4,100,13,10,False,False,242,258,0.937984496124,0.968,0.990869065484
4,100,13,25,False,False,243,257,0.945525291829,0.972,0.99288732891
4,100,13,50,False,False,244,256,0.953125,0.976,0.995895416244
4,100,13,100,False,True,248,252,0.984126984127,0.992,0.998044281258
4,100,19,10,False,False,245,255,0.960784313725,0.98,0.986873707721
4,100,19,25,False,False,245,255,0.960784313725,0.98,0.993255165668
4,100,19,50,False,False,248,252,0.984126984127,0.992,0.997631540102
4,100,19,100,False,True,245,255,0.960784313725,0.98,0.998265149446
9,10,9,25,True,False,249,251,0.99203187251,0.996,0.995761427116
9,10,9,50,True,False,244,256,0.953125,0.976,0.993539190758
9,10,9,100,True,False,245,255,0.960784313725,0.98,0.993677222303
9,10,13,10,False,True,240,260,0.923076923077,0.96,0.991891642591
9,10,13,25,False,False,242,258,0.937984496124,0.968,0.993783949851
9,10,13,50,False,False,245,255,0.960784313725,0.98,0.994006319627
9,10,13,100,False,False,244,256,0.953125,0.976,0.992664669579
9,10,19,10,False,True,246,254,0.968503937008,0.984,0.986693452437
9,10,19,25,False,False,245,255,0.960784313725,0.98,0.993532292429
9,10,19,50,False,False,245,255,0.960784313725,0.98,0.992201869976
9,10,19,100,False,False,245,255,0.960784313725,0.98,0.992491101271
9,25,9,50,True,False,245,255,0.960784313725,0.98,0.997503510092
9,25,9,100,True,False,245,255,0.960784313725,0.98,0.997280595767
9,25,13,10,False,False,240,260,0.923076923077,0.96,0.99107425886
9,25,13,25,False,True,241,259,0.930501930502,0.964,0.993343265619
9,25,13,50,False,False,245,255,0.960784313725,0.98,0.997706524043
9,25,13,100,False,False,243,257,0.945525291829,0.972,0.995684711282
9,25,19,10,False,False,245,255,0.960784313725,0.98,0.98910456339
9,25,19,25,False,True,246,254,0.968503937008,0.984,0.995122517688
9,25,19,50,False,False,245,255,0.960784313725,0.98,0.995696298602
9,25,19,100,False,False,245,255,0.960784313725,0.98,0.99570915534
9,50,9,100,True,False,249,251,0.99203187251,0.996,0.999562736625
9,50,13,10,False,False,243,257,0.945525291829,0.972,0.991256054547
9,50,13,25,False,False,245,255,0.960784313725,0.98,0.993041314414
9,50,13,50,False,True,246,254,0.968503937008,0.984,0.997326282244
9,50,13,100,False,False,245,255,0.960784313725,0.98,0.996054197511
9,50,19,10,False,False,244,256,0.953125,0.976,0.988368986583
9,50,19,25,False,False,246,254,0.968503937008,0.984,0.994626504526
9,50,19,50,False,True,245,255,0.960784313725,0.98,0.995860998071
9,50,19,100,False,False,248,252,0.984126984127,0.992,0.997680544868
9,100,13,10,False,False,244,256,0.953125,0.976,0.991949995406
9,100,13,25,False,False,245,255,0.960784313725,0.98,0.993844887394
9,100,13,50,False,False,247,253,0.97628458498,0.988,0.997828265923
9,100,13,100,False,True,246,254,0.968503937008,0.984,0.997064381814
9,100,19,10,False,False,244,256,0.953125,0.976,0.989272357833
9,100,19,25,False,False,245,255,0.960784313725,0.98,0.995250734178
9,100,19,50,False,False,245,255,0.960784313725,0.98,0.996685791728
9,100,19,100,False,True,248,252,0.984126984127,0.992,0.99825650393
13,10,13,25,True,False,245,255,0.960784313725,0.98,0.997210180064
13,10,13,50,True,False,243,257,0.945525291829,0.972,0.994172649856
13,10,13,100,True,False,242,258,0.937984496124,0.968,0.991865816087
13,10,19,10,False,True,240,260,0.923076923077,0.96,0.985991451646
13,10,19,25,False,False,241,259,0.930501930502,0.964,0.991221703416
13,10,19,50,False,False,241,259,0.930501930502,0.964,0.990637752014
13,10,19,100,False,False,243,257,0.945525291829,0.972,0.990806316501
13,25,13,50,True,False,245,255,0.960784313725,0.98,0.996312353428
13,25,13,100,True,False,244,256,0.953125,0.976,0.993254491908
13,25,19,10,False,False,242,258,0.937984496124,0.968,0.988377736358
13,25,19,25,False,True,242,258,0.937984496124,0.968,0.993176607513
13,25,19,50,False,False,242,258,0.937984496124,0.968,0.992617670856
13,25,19,100,False,False,245,255,0.960784313725,0.98,0.992970180394
13,50,13,100,True,False,245,255,0.960784313725,0.98,0.996831260754
13,50,19,10,False,False,243,257,0.945525291829,0.972,0.990276161606
13,50,19,25,False,False,243,257,0.945525291829,0.972,0.995887191136
13,50,19,50,False,True,243,257,0.945525291829,0.972,0.996052593496
13,50,19,100,False,False,247,253,0.97628458498,0.988,0.996643920836
13,100,19,10,False,False,244,256,0.953125,0.976,0.987944198965
13,100,19,25,False,False,243,257,0.945525291829,0.972,0.993641256755
13,100,19,50,False,False,246,254,0.968503937008,0.984,0.995984748109
13,100,19,100,False,True,245,255,0.960784313725,0.98,0.997016514196
19,10,19,25,True,False,247,253,0.97628458498,0.988,0.994373647499
19,10,19,50,True,False,245,255,0.960784313725,0.98,0.987829221221
19,10,19,100,True,False,245,255,0.960784313725,0.98,0.987387341894
19,25,19,50,True,False,247,253,0.97628458498,0.988,0.993921520244
19,25,19,100,True,False,246,254,0.968503937008,0.984,0.993866254111
19,50,19,100,True,False,245,255,0.960784313725,0.98,0.998646742008
