detector,commissioning_size,seed,false_positive_rate,recall,success,threshold,retained_features,target_weight
SourceOnly,50,1,0.0,0.7827814569536424,False,43.911866291278244,540,
Pooled,50,1,0.0,0.9735099337748344,True,36.91295583093008,542,
RACE,50,1,0.01,1.0,True,27.085537550376465,542,0.45454545454545453
TargetOnly,50,2,0.03,1.0,False,38.673282965039476,531,
SourceOnly,50,2,0.01,0.8543046357615894,False,42.22916597679238,540,
Pooled,50,2,0.04,1.0,False,31.970292621111483,542,
RACE,50,2,0.02,1.0,False,26.8986671919641,542,0.45454545454545453
TargetOnly,50,3,0.02,1.0,False,56.2515210458389,532,
SourceOnly,50,3,0.0,0.5364238410596026,False,58.514499212873325,540,
Pooled,50,3,0.0,0.7059602649006622,False,44.432875728315,542,
RACE,50,3,0.0,0.7496688741721854,False,35.04794575450078,542,0.45454545454545453
TargetOnly,50,4,0.01,1.0,True,70.65880897866094,531,
SourceOnly,50,4,0.01,0.7814569536423841,False,43.99057039074646,540,
Pooled,50,4,0.02,0.9947019867549669,False,34.89531337672652,542,
RACE,50,4,0.02,0.9483443708609272,False,32.11909753997679,542,0.45454545454545453
TargetOnly,50,5,0.01,1.0,True,59.625069182773224,533,
SourceOnly,50,5,0.1,0.9311258278145695,False,40.33084436530419,540,
Pooled,50,5,0.01,0.9933774834437086,True,34.98652546473904,542,
RACE,50,5,0.05,1.0,False,26.094935838184313,542,0.45454545454545453
TargetOnly,50,6,0.05,1.0,False,38.0901631845044,533,
SourceOnly,50,6,0.01,0.5086092715231788,False,61.9680020221807,540,
Pooled,50,6,0.0,0.4688741721854305,False,59.20605607151913,542,
RACE,50,6,0.0,0.3205298013245033,False,62.22432060548763,542,0.45454545454545453
TargetOnly,50,7,0.0,0.0,False,36331.2047154309,531,
SourceOnly,50,7,0.0,0.8529801324503311,False,42.26305143881004,540,
Pooled,50,7,0.01,1.0,True,31.39600542189272,542,
RACE,50,7,0.04,1.0,False,25.523365444932946,542,0.45454545454545453
TargetOnly,50,8,0.0,1.0,True,43.62096249731819,532,
SourceOnly,50,8,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,50,8,0.0,0.7086092715231788,False,44.13723423716383,542,
RACE,50,8,0.0,0.7894039735099337,False,36.35401300116587,542,0.45454545454545453
TargetOnly,50,9,0.0,1.0,True,38.08473248787124,535,
SourceOnly,50,9,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,50,9,0.0,0.4900662251655629,False,57.6264861387622,542,
RACE,50,9,0.0,0.33642384105960266,False,60.07007482806225,542,0.45454545454545453
TargetOnly,50,10,0.02,1.0,False,58.534643654160405,534,
SourceOnly,50,10,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,50,10,0.0,0.7973509933774835,False,41.479397034922016,542,
RACE,50,10,0.01,0.9483443708609272,True,32.19796903075707,542,0.45454545454545453
TargetOnly,50,11,0.01,1.0,True,39.894583531671785,534,
SourceOnly,50,11,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,50,11,0.0,0.46225165562913906,False,59.39367837975065,542,
RACE,50,11,0.0,0.32317880794701986,False,61.9925748188029,542,0.45454545454545453
TargetOnly,50,12,0.06,1.0,False,34.818333219858495,533,
SourceOnly,50,12,0.05,0.8993377483443709,False,41.12913731213414,540,
Pooled,50,12,0.02,0.9788079470198675,False,36.55251868966344,542,
RACE,50,12,0.04,1.0,False,25.893294437490503,542,0.45454545454545453
TargetOnly,50,13,0.03,1.0,False,39.97330412529484,532,
SourceOnly,50,13,0.02,0.7827814569536424,False,43.911866291278244,540,
Pooled,50,13,0.05,0.9986754966887417,False,33.08480227857817,542,
RACE,50,13,0.03,0.9986754966887417,False,28.019991778811598,542,0.45454545454545453
TargetOnly,50,14,0.0,1.0,True,64.53916196396342,534,
SourceOnly,50,14,0.01,0.5364238410596026,False,58.514499212873325,540,
Pooled,50,14,0.0,0.5059602649006623,False,56.255743892512164,542,
RACE,50,14,0.0,0.31788079470198677,False,55.595554435513606,542,0.45454545454545453
TargetOnly,50,15,0.01,1.0,True,39.286624176593186,534,
SourceOnly,50,15,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,50,15,0.0,0.4688741721854305,False,58.92970371047046,542,
RACE,50,15,0.0,0.3205298013245033,False,62.566065291617114,542,0.45454545454545453
TargetOnly,50,16,0.01,1.0,True,56.603803209367896,534,
SourceOnly,50,16,0.0,0.5364238410596026,False,58.514499212873325,540,
Pooled,50,16,0.0,0.5125827814569537,False,55.630415013865566,542,
RACE,50,16,0.0,0.33642384105960266,False,58.22161549427307,542,0.45454545454545453
TargetOnly,50,17,0.0,0.0,False,11866.22571603398,532,
SourceOnly,50,17,0.04,0.9112582781456954,False,40.794222123774105,540,
Pooled,50,17,0.01,0.9960264900662251,True,34.51884202399474,542,
RACE,50,17,0.01,0.9139072847682119,True,32.935696188937406,542,0.45454545454545453
TargetOnly,50,18,0.02,1.0,False,37.843371537559165,532,
SourceOnly,50,18,0.04,0.9112582781456954,False,40.794222123774105,540,
Pooled,50,18,0.01,0.9947019867549669,True,34.86721126061976,542,
RACE,50,18,0.02,0.9986754966887417,False,27.278036155945387,542,0.45454545454545453
TargetOnly,50,19,0.0,1.0,True,86.75285406259573,534,
SourceOnly,50,19,0.02,0.7827814569536424,False,43.911866291278244,540,
Pooled,50,19,0.02,0.9986754966887417,False,34.03391211462478,542,
RACE,50,19,0.02,1.0,False,27.593692635082554,542,0.45454545454545453
TargetOnly,100,0,0.0,1.0,True,87.79742781916116,533,
SourceOnly,100,0,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,100,0,0.0,0.7470198675496689,False,42.08584111580932,542,
RACE,100,0,0.0,0.9390728476821192,True,35.48067440443278,542,0.625
TargetOnly,100,1,0.0,0.0,False,14944.349426325156,533,
SourceOnly,100,1,0.02,0.7827814569536424,False,43.911866291278244,540,
Pooled,100,1,0.02,0.9933774834437086,False,34.58067780622693,542,
RACE,100,1,0.01,0.8092715231788079,False,37.64754221244227,542,0.625
TargetOnly,100,2,0.01,1.0,True,45.390222877519996,532,
SourceOnly,100,2,0.01,0.7827814569536424,False,43.911866291278244,540,
Pooled,100,2,0.02,1.0,False,31.566105389420574,542,
RACE,100,2,0.02,1.0,False,29.900564734448583,542,0.625
TargetOnly,100,3,0.0,0.0,False,13749.035391882298,533,
SourceOnly,100,3,0.01,0.5364238410596026,False,58.514499212873325,540,
Pooled,100,3,0.0,0.7059602649006622,False,43.609162171059616,542,
RACE,100,3,0.0,0.7801324503311259,False,36.81738037154053,542,0.625
TargetOnly,100,4,0.01,1.0,True,80.85722409928525,534,
SourceOnly,100,4,0.01,0.5364238410596026,False,58.514499212873325,540,
Pooled,100,4,0.0,0.5059602649006623,False,56.17933193506894,542,
RACE,100,4,0.0,0.3125827814569536,False,68.2025676473358,542,0.625
TargetOnly,100,5,0.0,0.0,False,14016.969350750327,534,
SourceOnly,100,5,0.02,0.7827814569536424,False,43.911866291278244,540,
Pooled,100,5,0.03,0.9933774834437086,False,34.643533308928596,542,
RACE,100,5,0.02,0.8092715231788079,False,37.97286752563633,542,0.625
TargetOnly,100,6,0.0,1.0,True,115.27728943023746,533,
SourceOnly,100,6,0.01,0.5086092715231788,False,61.9680020221807,540,
Pooled,100,6,0.0,0.4675496688741722,False,58.83126976568649,542,
RACE,100,6,0.0,0.3072847682119205,False,69.71949530346004,542,0.625
TargetOnly,100,7,0.0,0.0,False,13675.229288467248,532,
SourceOnly,100,7,0.02,0.8529801324503311,False,42.26305143881004,540,
Pooled,100,7,0.01,0.9894039735099338,True,35.07632864538727,542,
RACE,100,7,0.01,0.7960264900662252,False,39.03419079271603,542,0.625
TargetOnly,100,8,0.01,1.0,True,44.74512219681531,533,
SourceOnly,100,8,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,100,8,0.0,0.6887417218543046,False,44.47520208525006,542,
RACE,100,8,0.0,0.8251655629139073,False,39.42195855194921,542,0.625
TargetOnly,100,9,0.01,1.0,True,39.15018743926195,534,
SourceOnly,100,9,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,100,9,0.0,0.4675496688741722,False,58.15763143677743,542,
RACE,100,9,0.0,0.30993377483443707,False,70.32532419737471,542,0.625
TargetOnly,100,10,0.0,0.0,False,13304.316928896838,534,
SourceOnly,100,10,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,100,10,0.0,0.785430463576159,False,41.14995337057165,542,
RACE,100,10,0.0,0.7695364238410596,False,38.54721499528125,542,0.625
TargetOnly,100,11,0.01,1.0,True,62.83512691466415,534,
SourceOnly,100,11,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,100,11,0.0,0.4609271523178808,False,58.877060882665994,542,
RACE,100,11,0.0,0.3086092715231788,False,71.27198691833306,542,0.625
TargetOnly,100,12,0.01,1.0,True,42.19463681662845,534,
