variant,N,mean_recall,recall_ci_low,recall_ci_high,mean_FPR,FPR_ci_low,FPR_ci_high,success_rate,median_threshold,median_retained_features,median_covariance_condition
LW_CURRENT,50,0.8503973509933773,0.7007947019867549,1.0,0.011500000000000002,0.007000000000000001,0.016500000000000004,0.6,66.02904573190241,532.5,361.9839510746516
DIAGONAL,50,0.8503973509933773,0.7007947019867549,1.0,0.0115,0.007000000000000001,0.0165,0.55,56.766945722172025,532.5,
TOPVAR_250_LW,50,0.8147019867549667,0.7049652317880795,0.9051009933774834,0.012,0.007000000000000001,0.0175,0.35,27.3364871333548,250.0,219.34388082237746
PCA_50_LW,50,0.776092715231788,0.6024503311258277,0.9354304635761588,0.012,0.007000000000000001,0.017000000000000005,0.4,11.736354948140107,50.0,24.729242784493984
PCA_99_LW,50,0.755430463576159,0.5731738410596026,0.9135099337748344,0.0115,0.007000000000000001,0.016500000000000004,0.45,11.48805543067584,46.0,17.086739487731855
TOPVAR_100_LW,50,0.7150331125827815,0.653044701986755,0.7732466887417219,0.016000000000000004,0.008500000000000002,0.0245,0.0,15.872062960162573,100.0,68.70938730069217
PCA_95_LW,50,0.7002649006622517,0.5109254966887415,0.873841059602649,0.013500000000000002,0.0075000000000000015,0.0205,0.35,10.407702354035994,38.0,13.859471173365979
PCA_25_LW,50,0.5873509933774834,0.41039569536423837,0.7617897350993377,0.011500000000000002,0.007000000000000001,0.016500000000000004,0.15,8.891503841360759,25.0,9.932319549910165
TOPVAR_50_LW,50,0.48801324503311266,0.38662086092715237,0.5831788079470199,0.019,0.01,0.029500000000000005,0.0,10.303176043548714,50.0,24.162344641829236
PCA_10_LW,50,0.32748344370860927,0.18569370860927153,0.48086258278145705,0.0125,0.007000000000000001,0.019000000000000003,0.0,6.839396076953813,10.0,5.667722316297183
LW_CURRENT,100,0.8503973509933773,0.7007947019867549,1.0,0.0125,0.0075,0.0185,0.6,68.8260625824721,534.0,641.3436644727799
DIAGONAL,100,0.8503973509933773,0.7007947019867549,1.0,0.0125,0.0075000000000000015,0.018500000000000003,0.55,50.48077203513702,534.0,
PCA_99_LW,100,0.8503973509933773,0.7007947019867549,1.0,0.011000000000000001,0.007000000000000001,0.015500000000000003,0.6,15.60369683055813,89.0,62.551393055291044
PCA_95_LW,100,0.8480794701986755,0.691523178807947,0.997682119205298,0.0105,0.006500000000000001,0.0155,0.65,13.572060755299436,66.0,40.66199427171901
TOPVAR_250_LW,100,0.8290728476821192,0.7141705298013244,0.9224503311258279,0.013000000000000001,0.0075,0.0205,0.4,26.016023209839503,250.0,418.57827036670227
PCA_50_LW,100,0.7805298013245033,0.5986754966887418,0.9322599337748343,0.012,0.007000000000000001,0.0175,0.5,10.743488544955113,50.0,29.793924009935544
TOPVAR_100_LW,100,0.7514569536423841,0.6981440397350992,0.7992715231788079,0.0165,0.0095,0.025,0.0,14.848427673129137,100.0,140.54042420346696
PCA_25_LW,100,0.6552317880794701,0.4635066225165562,0.8309304635761589,0.013000000000000001,0.0075000000000000015,0.019,0.3,8.501459060710546,25.0,16.238956673081802
TOPVAR_50_LW,100,0.5011920529801325,0.3970860927152318,0.5948377483443708,0.013000000000000001,0.007000000000000001,0.0195,0.0,9.87485400718044,50.0,45.76241053578026
PCA_10_LW,100,0.3252317880794702,0.20066059602649006,0.461657284768212,0.015000000000000003,0.008000000000000002,0.0235,0.0,7.0981428855961255,10.0,8.40955897352701
