protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,5.91542163006,100,True,False,0.496688741722,0,False,0.866609271523,0.981541638084,1.05732508969,1764,1,513,1.94931773879e-05,0,0.00140712340085,1
bounded-robust-whitening-v1.0.0,0,100,RACE,BOUNDED_ROBUST_WHITENING,3,primary,5.39265738152,100,True,False,0.323178807947,0,False,0.781774834437,0.967416441515,1.01993027955,1764,1,513,0.000350877192982,0.000194931773879,0.00206550223978,0.625
bounded-robust-whitening-v1.0.0,0,100,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.14093153275,100,True,False,0.320529801325,0.01,False,0.786092715232,0.967899035118,1.00186723835,1785,1,513,0.000818713450292,0.00101364522417,0.00330996733925,0.625
bounded-robust-whitening-v1.0.0,0,100,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,5.4624152393,100,True,False,0.343046357616,0.01,False,0.786013245033,0.968235587631,1.00455923036,1764,1,513,7.79727095517e-05,1.94931773879e-05,0.000947549152499,0.625
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,CURRENT_MAHALANOBIS,none,reference,21907.4031655,100,True,False,0.56821192053,0.01,False,0.952887417219,0.992014502687,1.00000774398,1994,1,529,0,0,0,
bounded-robust-whitening-v1.0.0,1,10,RACE,CURRENT_MAHALANOBIS,none,reference,55.4414048614,100,True,False,0.466225165563,0,False,0.971205298013,0.995295424923,1.24070150449,1771,1,542,0,0,0,0.142857142857
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,ROBUST_DIAGONAL,3,primary,41.1897788564,100,True,False,0.320529801325,0,False,0.908291390728,0.986110229874,1.00856797031,2020,1,518,0.0704247104247,0.0699613899614,0.171134521466,
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,37.4885888209,100,True,False,0.296688741722,0,False,0.896900662252,0.98425454319,1.01026067593,2020,1,518,0.104459459459,0.104903474903,0.222030734614,
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,46.9345756969,100,True,False,0.362913907285,0,False,0.922609271523,0.988474260322,1.00348387852,1962,1,518,0.039555984556,0.0370656370656,0.110455393899,
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,17.9992843382,100,True,False,0.27417218543,0,False,0.810304635762,0.971977334691,1.06803060239,2016,1,518,0.00451737451737,0.00459459459459,0.0219233424531,1
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,16.5903519395,100,True,False,0.276821192053,0,False,0.807072847682,0.971281328186,1.05701199351,2016,1,518,0.00666023166023,0.00720077220077,0.0282006699225,1
