detector,N,calibration_method,calibration_request,calibration_size,seed_count,mean_recall,recall_ci_lower,recall_ci_upper,mean_false_positive_rate,fpr_ci_lower,fpr_ci_upper,mean_empirical_coverage,success_rate,episode_1710_threshold_seed_rate
RACE,100,CONTEXT_CONDITIONAL,all,119,20,0.804304635762,0.69959602649,0.901125827815,0.015,0.008,0.023,0.985,0.25,0.2
RACE,100,FINITE_SAMPLE,100,100,20,0.812847682119,0.705759933775,0.911655629139,0.0125,0.007,0.0185,0.9875,0.3,0.15
RACE,100,FINITE_SAMPLE,all,119,20,0.803907284768,0.699334437086,0.900531456954,0.012,0.0065,0.018,0.988,0.25,0.2
RACE,100,MAX_SCORE,100,100,20,0.812847682119,0.705759933775,0.911655629139,0.0125,0.007,0.0185,0.9875,0.3,0.15
RACE,100,MAX_SCORE,all,119,20,0.803907284768,0.699334437086,0.900531456954,0.012,0.0065,0.018,0.988,0.25,0.2
RACE,100,TRIMMED_SENSITIVITY,100,100,20,0.971059602649,0.918408940397,0.998278145695,0.025,0.017,0.0335,0.975,0.35,0
RACE,100,TRIMMED_SENSITIVITY,all,119,20,0.898079470199,0.797812913907,0.98059602649,0.0225,0.0145,0.0315,0.9775,0.35,0
TargetOnly,10,CONTEXT_CONDITIONAL,100,100,20,0.604039735099,0.455627483444,0.750667218543,0.0105,0.0055,0.0165,0.9895,0.15,0.15
TargetOnly,10,CONTEXT_CONDITIONAL,all,119,20,0.556291390728,0.405099337748,0.705165562914,0.0105,0.005,0.017,0.9895,0.1,0.2
TargetOnly,10,FINITE_SAMPLE,100,100,20,0.604039735099,0.455627483444,0.750667218543,0.0105,0.0055,0.0165,0.9895,0.15,0.15
TargetOnly,10,FINITE_SAMPLE,all,119,20,0.554039735099,0.403041390728,0.703644039735,0.01,0.0045,0.016,0.99,0.1,0.2
TargetOnly,10,MAX_SCORE,100,100,20,0.604039735099,0.455627483444,0.750667218543,0.0105,0.0055,0.0165,0.9895,0.15,0.15
TargetOnly,10,MAX_SCORE,all,119,20,0.554039735099,0.403041390728,0.703644039735,0.01,0.0045,0.016,0.99,0.1,0.2
TargetOnly,10,TRIMMED_SENSITIVITY,100,100,20,0.737417218543,0.63059602649,0.846496688742,0.0185,0.013,0.024,0.9815,0.15,0
TargetOnly,10,TRIMMED_SENSITIVITY,all,119,20,0.737350993377,0.630594370861,0.846432119205,0.018,0.0125,0.0235,0.982,0.15,0
TargetOnly,25,CONTEXT_CONDITIONAL,100,100,20,0.733311258278,0.574104304636,0.881589403974,0.01,0.0055,0.0145,0.99,0.4,0.15
TargetOnly,25,CONTEXT_CONDITIONAL,all,119,20,0.682582781457,0.507614238411,0.843511589404,0.0175,0.0105,0.0255,0.9825,0.2,0.2
TargetOnly,25,FINITE_SAMPLE,100,100,20,0.733311258278,0.574104304636,0.881589403974,0.01,0.0055,0.0145,0.99,0.4,0.15
TargetOnly,25,FINITE_SAMPLE,all,119,20,0.681456953642,0.506157284768,0.842781456954,0.0095,0.005,0.014,0.9905,0.35,0.2
TargetOnly,25,MAX_SCORE,100,100,20,0.733311258278,0.574104304636,0.881589403974,0.01,0.0055,0.0145,0.99,0.4,0.15
TargetOnly,25,MAX_SCORE,all,119,20,0.681456953642,0.506157284768,0.842781456954,0.0095,0.005,0.014,0.9905,0.35,0.2
TargetOnly,25,TRIMMED_SENSITIVITY,100,100,20,0.813311258278,0.692119205298,0.923178807947,0.024,0.0155,0.0335,0.976,0.2,0
TargetOnly,25,TRIMMED_SENSITIVITY,all,119,20,0.81178807947,0.688806291391,0.923112582781,0.021,0.0135,0.03,0.979,0.2,0
TargetOnly,50,CONTEXT_CONDITIONAL,100,100,20,0.850397350993,0.700794701987,1,0.0115,0.007,0.0165,0.9885,0.6,0.15
TargetOnly,50,CONTEXT_CONDITIONAL,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.0195,0.0125,0.0275,0.9805,0.3,0.2
TargetOnly,50,FINITE_SAMPLE,100,100,20,0.850397350993,0.700794701987,1,0.0115,0.007,0.0165,0.9885,0.6,0.15
TargetOnly,50,FINITE_SAMPLE,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.0105,0.006,0.0155,0.9895,0.55,0.2
TargetOnly,50,MAX_SCORE,100,100,20,0.850397350993,0.700794701987,1,0.0115,0.007,0.0165,0.9885,0.6,0.15
TargetOnly,50,MAX_SCORE,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.0105,0.006,0.0155,0.9895,0.55,0.2
TargetOnly,50,TRIMMED_SENSITIVITY,100,100,20,1,1,1,0.0255,0.018,0.034,0.9745,0.3,0
TargetOnly,50,TRIMMED_SENSITIVITY,all,119,20,1,1,1,0.0225,0.015,0.0315,0.9775,0.4,0
TargetOnly,100,CONTEXT_CONDITIONAL,100,100,20,0.850397350993,0.700794701987,1,0.0125,0.0075,0.018,0.9875,0.6,0.15
TargetOnly,100,CONTEXT_CONDITIONAL,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.018,0.0115,0.0245,0.982,0.3,0.2
TargetOnly,100,FINITE_SAMPLE,100,100,20,0.850397350993,0.700794701987,1,0.0125,0.0075,0.018,0.9875,0.6,0.15
TargetOnly,100,FINITE_SAMPLE,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.012,0.0065,0.018,0.988,0.55,0.2
TargetOnly,100,MAX_SCORE,100,100,20,0.850397350993,0.700794701987,1,0.0125,0.0075,0.018,0.9875,0.6,0.15
TargetOnly,100,MAX_SCORE,all,119,20,0.800529801325,0.601059602649,0.950132450331,0.012,0.0065,0.018,0.988,0.55,0.2
TargetOnly,100,TRIMMED_SENSITIVITY,100,100,20,1,1,1,0.024,0.0165,0.0315,0.976,0.4,0
TargetOnly,100,TRIMMED_SENSITIVITY,all,119,20,1,1,1,0.023,0.016,0.0305,0.977,0.4,0
