seed,commissioning_size,detector,split,context_type,context,episode_count,score_mean,score_std,score_median,score_q90,score_q95,score_q99,score_max,score_second_max,max_second_ratio,max_second_gap,predicted_anomaly_count,predicted_anomaly_rate,threshold_episode_count
0,25,SourceOnly,calibration,exploratory_cluster,2,25,35.93505428984121,3.649827387303217,36.716273426476626,39.945570271830384,40.22557567104065,41.78099165731437,42.263051438810045,40.254469015911404,1.0498971287412762,2.008582422898641,0,0.0,0
0,25,SourceOnly,healthy_evaluation,exploratory_cluster,0,38,36.06214318660041,3.7914578619548944,36.9065822066259,39.253585598084555,39.73051134509372,41.56308457645265,41.57189177681542,41.54808853259172,1.0005729082868644,0.02380324422369995,0,0.0,0
0,25,SourceOnly,healthy_evaluation,exploratory_cluster,1,35,35.844597292348226,3.5023178939067012,36.76931855821464,39.07235782086462,39.74785475604002,40.25294148712966,40.41019491978276,39.94768482374424,1.0115778948912606,0.4625100960385211,0,0.0,0
0,25,SourceOnly,healthy_evaluation,exploratory_cluster,2,27,34.390494772209685,3.654154613721139,34.31018267145069,38.071408927923606,38.41788982529652,42.55286736178802,43.99057039074653,38.460943356290755,1.1437725274502746,5.529627034455771,0,0.0,0
0,25,TargetOnly,anomaly_evaluation,exploratory_cluster,0,260,228.046094503736,90.87972142288584,194.59130147035876,291.0564948037361,537.7381350283887,542.8890080345022,642.2711171168523,543.1789352555536,1.182430089662218,99.09218186129874,260,1.0,0
0,25,TargetOnly,anomaly_evaluation,exploratory_cluster,1,208,225.988393478282,97.18159967475923,196.70758281841995,283.92360699263554,413.9593116342868,541.794903820712,1068.73337722342,543.0488637141021,1.9680243319431265,525.6845135093178,208,1.0,0
0,25,TargetOnly,anomaly_evaluation,exploratory_cluster,2,287,456.88521470737464,2041.448861041221,197.66565125491164,313.8379680219064,506.9534795748048,9717.870357530528,25581.16697389345,19549.50729521635,1.3085325674756525,6031.659678677101,287,1.0,0
0,25,TargetOnly,calibration,exploratory_cluster,0,43,31.15161738057278,7.99610728945035,29.54152708108323,33.85435135693147,35.873810762136586,62.61609801180959,77.98926576334554,41.38648540254581,1.884413837144726,36.602780360799734,0,0.0,1
0,25,TargetOnly,calibration,exploratory_cluster,1,32,29.528784594588927,2.291591817078915,29.484237757269216,32.44777526227395,33.27767146140438,35.02171297436993,35.657850342527965,33.605794316211735,1.0610625657887307,2.0520560263162295,0,0.0,0
0,25,TargetOnly,calibration,exploratory_cluster,2,25,28.261168599260696,2.457164013588131,28.040529075405917,31.934633530996145,32.65563267532765,32.972942840930585,33.059723838979686,32.69813634710843,1.011058351706434,0.36158749187125494,0,0.0,0
0,25,TargetOnly,healthy_evaluation,exploratory_cluster,0,38,29.891981040051434,2.8790825712578827,29.094045802595495,33.942954648294226,34.661435994628846,35.315413931668374,35.38598778418643,35.19524764224574,1.0054194857180587,0.19074014194069377,0,0.0,0
