detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
Pooled,100,4,41.23655081006462,41.23655081006468,0.0,0.0,0.7880794701986755,0.7880794701986755,542,542,,,True
RACE,100,4,37.89293302029997,37.89293302029994,0.0,0.0,0.8092715231788079,0.8092715231788079,542,542,0.625,0.625,True
SourceOnly,10,5,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,10,5,44.455354882466736,44.45535488246689,0.02,0.02,1.0,1.0,527,527,,,True
Pooled,10,5,61.698007986815036,61.69800798681508,0.0,0.0,0.5655629139072847,0.5655629139072847,542,542,,,True
RACE,10,5,56.973473813169555,56.97347381316978,0.01,0.01,0.4596026490066225,0.4596026490066225,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,5,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,25,5,43.022925947571956,43.02292594757192,0.02,0.02,1.0,1.0,533,533,,,True
Pooled,25,5,60.4414891207048,60.44148912070481,0.0,0.0,0.5046357615894039,0.5046357615894039,542,542,,,True
RACE,25,5,58.536569454389316,58.53656945438932,0.0,0.0,0.42119205298013246,0.4211920529801324,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,5,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,50,5,45.80451858911601,45.804518589116014,0.02,0.02,1.0,1.0,533,533,,,True
Pooled,50,5,59.26193693137501,59.26193693137508,0.0,0.0,0.5046357615894039,0.5046357615894039,542,542,,,True
RACE,50,5,62.08821290802667,62.088212908026605,0.0,0.0,0.3973509933774834,0.3973509933774834,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,5,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,100,5,38.548523960844015,38.548523960844,0.03,0.03,1.0,1.0,534,534,,,True
Pooled,100,5,59.52825130681834,59.52825130681831,0.0,0.0,0.4900662251655629,0.4900662251655629,542,542,,,True
RACE,100,5,71.14837929228646,71.14837929228622,0.0,0.0,0.3801324503311258,0.3801324503311258,542,542,0.625,0.625,True
SourceOnly,10,6,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,10,6,33600.42111477898,33600.421114778925,0.0,0.0,0.3562913907284768,0.3562913907284768,526,526,,,True
Pooled,10,6,58.4560133088282,58.456013308828325,0.01,0.01,0.6039735099337749,0.6039735099337749,542,542,,,True
RACE,10,6,61.45437434908847,61.45437434908847,0.0,0.0,0.423841059602649,0.423841059602649,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,6,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,25,6,23591.761591985545,23591.76159198557,0.01,0.01,0.2370860927152318,0.2370860927152318,530,530,,,True
Pooled,25,6,57.99485889367729,57.99485889367731,0.0,0.0,0.5258278145695364,0.5258278145695364,542,542,,,True
RACE,25,6,58.43706521047938,58.43706521047928,0.0,0.0,0.4357615894039735,0.4357615894039735,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,6,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,50,6,67.28285286922178,67.28285286922184,0.01,0.01,1.0,1.0,533,533,,,True
Pooled,50,6,41.397396762836465,41.39739676283639,0.0,0.0,0.7973509933774835,0.7973509933774835,542,542,,,True
RACE,50,6,32.65497236524381,32.654972365243864,0.02,0.02,0.9576158940397351,0.9576158940397352,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,6,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,100,6,40.67927523929676,40.67927523929677,0.01,0.01,1.0,1.0,533,533,,,True
Pooled,100,6,41.07561984040109,41.07561984040111,0.0,0.0,0.7827814569536424,0.7827814569536424,542,542,,,True
RACE,100,6,33.73226623114711,33.73226623114707,0.01,0.01,0.990728476821192,0.990728476821192,542,542,0.625,0.625,True
SourceOnly,10,7,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,10,7,31895.37563273178,31895.37563273181,0.0,0.0,0.4119205298013245,0.4119205298013245,527,527,,,True
