seed,commissioning_size,detector,threshold,representative_threshold_episode_id,all_threshold_episode_ids,threshold_tie_count,max_score,second_max_score,max_second_ratio,max_second_gap,semantic_context,false_positive_rate,recall,retained_features,target_weight,exploratory_cluster
3,100,RACE,30.25952845725512,1861,1861,1,30.25952845725512,27.412944199250653,1.1038408803269764,2.846584258004466,UNAVAILABLE,0.0,0.9973509933774835,542,0.625,0
4,10,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
4,10,TargetOnly,7757.186576804112,1710,1710,1,7757.186576804112,56.64658055117843,136.94006772034075,7700.539996252934,UNAVAILABLE,0.0,0.0026490066225165563,522,,2
4,10,Pooled,58.562493938508936,1861,1861,1,58.562493938508936,49.04588606505632,1.1940347832808937,9.516607873452614,UNAVAILABLE,0.01,0.5350993377483444,542,,0
4,10,RACE,67.94557152935405,1861,1861,1,67.94557152935405,58.98305768735088,1.1519506480913624,8.962513842003176,UNAVAILABLE,0.0,0.40794701986754967,542,0.14285714285714285,0
4,25,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
4,25,TargetOnly,30071.060054414866,1710,1710,1,30071.060054414866,28772.870227573247,1.045118537586756,1298.189826841619,UNAVAILABLE,0.0,0.14701986754966886,530,,2
4,25,Pooled,58.115737553109085,1861,1861,1,58.115737553109085,47.491706829301464,1.2237028616805323,10.624030723807621,UNAVAILABLE,0.01,0.5258278145695364,542,,0
4,25,RACE,56.33322998472104,1861,1861,1,56.33322998472104,45.64304568655838,1.2342127729944816,10.690184298162656,UNAVAILABLE,0.0,0.40794701986754967,542,0.29411764705882354,0
4,50,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
4,50,TargetOnly,9665.488460471875,1710,1710,1,9665.488460471875,38.02396281620994,254.19466422240967,9627.464497655665,UNAVAILABLE,0.0,0.0026490066225165563,531,,2
4,50,Pooled,57.83889487509232,1861,1861,1,57.83889487509232,46.90377805404839,1.233139360510429,10.935116821043934,UNAVAILABLE,0.01,0.519205298013245,542,,0
4,50,RACE,59.5765088605884,1861,1861,1,59.5765088605884,47.25121825788673,1.2608459857147587,12.32529060270167,UNAVAILABLE,0.01,0.39470198675496687,542,0.45454545454545453,0
4,100,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
4,100,TargetOnly,12343.828210714355,1710,1710,1,12343.828210714355,39.119703879401776,315.5399194423329,12304.708506834953,UNAVAILABLE,0.0,0.0026490066225165563,534,,2
4,100,Pooled,41.23655081006462,1861,1861,1,41.23655081006462,35.845065360349594,1.1504108137484073,5.391485449715027,UNAVAILABLE,0.0,0.7880794701986755,542,,0
4,100,RACE,37.89293302029997,1710,1710,1,37.89293302029997,33.41810380776711,1.133904342337126,4.47482921253286,UNAVAILABLE,0.0,0.8092715231788079,542,0.625,2
5,10,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,51.03482439502577,1.2142297491322525,10.933177627154933,UNAVAILABLE,0.01,0.5086092715231788,540,,1
5,10,TargetOnly,44.455354882466736,1909,1909,1,44.455354882466736,44.14004311584806,1.0071434403856636,0.3153117666186773,UNAVAILABLE,0.02,1.0,527,,0
5,10,Pooled,61.698007986815036,1742,1742,1,61.698007986815036,61.384697595744356,1.00510404715413,0.3133103910706794,UNAVAILABLE,0.0,0.5655629139072847,542,,1
5,10,RACE,56.973473813169555,1771,1771,1,56.973473813169555,48.14713768913139,1.1833200590453916,8.826336124038164,UNAVAILABLE,0.01,0.4596026490066225,542,0.14285714285714285,1
5,25,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,51.03482439502577,1.2142297491322525,10.933177627154933,UNAVAILABLE,0.01,0.5086092715231788,540,,1
5,25,TargetOnly,43.022925947571956,1954,1954,1,43.022925947571956,41.440631657532876,1.0381821952694936,1.58229429003908,UNAVAILABLE,0.02,1.0,533,,0
5,25,Pooled,60.4414891207048,1771,1771,1,60.4414891207048,47.577311792148016,1.2703847032122535,12.864177328556785,UNAVAILABLE,0.0,0.5046357615894039,542,,1
5,25,RACE,58.536569454389316,1771,1771,1,58.536569454389316,46.23878870784433,1.2659624330612858,12.297780746544987,UNAVAILABLE,0.0,0.42119205298013246,542,0.29411764705882354,1
5,50,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,51.03482439502577,1.2142297491322525,10.933177627154933,UNAVAILABLE,0.01,0.5086092715231788,540,,1
5,50,TargetOnly,45.80451858911601,1742,1742,1,45.80451858911601,37.34992622885349,1.2263616883326316,8.454592360262517,UNAVAILABLE,0.02,1.0,533,,1
5,50,Pooled,59.26193693137501,1771,1771,1,59.26193693137501,47.31108918095405,1.2526014081965375,11.950847750420962,UNAVAILABLE,0.0,0.5046357615894039,542,,1
5,50,RACE,62.08821290802667,1771,1771,1,62.08821290802667,48.7068491150422,1.2747326923443274,13.381363792984466,UNAVAILABLE,0.0,0.3973509933774834,542,0.45454545454545453,1
5,100,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,51.03482439502577,1.2142297491322525,10.933177627154933,UNAVAILABLE,0.01,0.5086092715231788,540,,1
5,100,TargetOnly,38.548523960844015,1742,1742,1,38.548523960844015,38.207171534644225,1.0089342501025043,0.34135242619979067,UNAVAILABLE,0.03,1.0,534,,1
5,100,Pooled,59.52825130681834,1771,1771,1,59.52825130681834,46.78497267606868,1.2723797386605735,12.743278630749657,UNAVAILABLE,0.0,0.4900662251655629,542,,1
5,100,RACE,71.14837929228646,1771,1771,1,71.14837929228646,54.76853797427523,1.2990739195138792,16.37984131801123,UNAVAILABLE,0.0,0.3801324503311258,542,0.625,1
6,10,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
6,10,TargetOnly,33600.42111477898,1706,1706,1,33600.42111477898,33599.61584621949,1.000023966600189,0.8052685594957438,UNAVAILABLE,0.0,0.3562913907284768,526,,0
6,10,Pooled,58.4560133088282,1861,1861,1,58.4560133088282,56.796388384163315,1.0292206066596945,1.6596249246648824,UNAVAILABLE,0.01,0.6039735099337749,542,,0
6,10,RACE,61.45437434908847,1861,1861,1,61.45437434908847,51.639402618350324,1.1900674917422522,9.814971730738144,UNAVAILABLE,0.0,0.423841059602649,542,0.14285714285714285,0
6,25,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
6,25,TargetOnly,23591.761591985545,1704,1704,1,23591.761591985545,23591.486941848663,1.0000116419171694,0.2746501368819736,UNAVAILABLE,0.01,0.2370860927152318,530,,2
6,25,Pooled,57.99485889367729,1861,1861,1,57.99485889367729,47.20547029966981,1.228562251906702,10.789388594007477,UNAVAILABLE,0.0,0.5258278145695364,542,,0
6,25,RACE,58.43706521047938,1861,1861,1,58.43706521047938,47.77177247720591,1.2232551186657847,10.665292733273475,UNAVAILABLE,0.0,0.4357615894039735,542,0.29411764705882354,0
6,50,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
6,50,TargetOnly,67.28285286922178,1962,1962,1,67.28285286922178,40.21861067378463,1.672928322038688,27.064242195437153,UNAVAILABLE,0.01,1.0,533,,0
6,50,Pooled,41.397396762836465,1861,1861,1,41.397396762836465,35.040228899615016,1.1814248383317865,6.357167863221449,UNAVAILABLE,0.0,0.7973509933774835,542,,0
6,50,RACE,32.65497236524381,1861,1861,1,32.65497236524381,28.027343384449928,1.1651112243253625,4.6276289807938795,UNAVAILABLE,0.02,0.9576158940397351,542,0.45454545454545453,0
6,100,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,51.03482439502577,1.2321055349257546,11.845465216049412,UNAVAILABLE,0.0,0.49933774834437084,540,,0
6,100,TargetOnly,40.67927523929676,1962,1962,1,40.67927523929676,40.44804907848676,1.005716620852623,0.23122616080999592,UNAVAILABLE,0.01,1.0,533,,0
